*******************************************************************************
Ephemeris / WWW_USER Thu Mar  7 10:13:09 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: SpaceX Roadster (spacecraft) (-143205) {source: tesla_s10}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-07 12:30:00.0000 UT      
Stop  time      : A.D. 2019-Mar-07 18:30:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190306.p190528                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-06. PREDICTS-> 2019-MAY-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-07 13:01 *m  23 50 46.36 -00 28 13.1 94.73644  41.59730 2.43793030425877  -2.2438287  11.3006 /T   7.5627
 2019-Mar-07 13:02 *m  23 50 46.47 -00 28 12.4 94.73343  41.59738 2.43792940434079  -2.2435744  11.3003 /T   7.5625
 2019-Mar-07 13:03 *m  23 50 46.57 -00 28 11.7 94.73042  41.59747 2.43792850452614  -2.2433133  11.3001 /T   7.5624
 2019-Mar-07 13:04 *m  23 50 46.68 -00 28 11.1 94.72741  41.59755 2.43792760481756  -2.2430455  11.2999 /T   7.5623
 2019-Mar-07 13:05 *m  23 50 46.78 -00 28 10.4 94.72441  41.59764 2.43792670521776  -2.2427709  11.2997 /T   7.5621
 2019-Mar-07 13:06 *m  23 50 46.89 -00 28 09.7 94.72141  41.59772 2.43792580572945  -2.2424896  11.2995 /T   7.5620
 2019-Mar-07 13:07 *m  23 50 46.99 -00 28 09.0 94.71841  41.59781 2.43792490635534  -2.2422015  11.2993 /T   7.5619
 2019-Mar-07 13:08 *m  23 50 47.10 -00 28 08.3 94.71541  41.59789 2.43792400709814  -2.2419066  11.2991 /T   7.5617
 2019-Mar-07 13:09 *m  23 50 47.20 -00 28 07.6 94.71242  41.59797 2.43792310796054  -2.2416050  11.2989 /T   7.5616
 2019-Mar-07 13:10 *m  23 50 47.31 -00 28 06.9 94.70943  41.59806 2.43792220894526  -2.2412967  11.2986 /T   7.5615
 2019-Mar-07 13:11 *m  23 50 47.41 -00 28 06.2 94.70645  41.59814 2.43792131005499  -2.2409817  11.2984 /T   7.5614
 2019-Mar-07 13:12 *m  23 50 47.52 -00 28 05.5 94.70347  41.59823 2.43792041129241  -2.2406600  11.2982 /T   7.5612
 2019-Mar-07 13:13 *m  23 50 47.62 -00 28 04.8 94.70049  41.59831 2.43791951266023  -2.2403315  11.2980 /T   7.5611
 2019-Mar-07 13:14 *m  23 50 47.73 -00 28 04.1 94.69752  41.59840 2.43791861416113  -2.2399964  11.2978 /T   7.5610
 2019-Mar-07 13:15 *m  23 50 47.83 -00 28 03.4 94.69455  41.59848 2.43791771579779  -2.2396545  11.2976 /T   7.5608
 2019-Mar-07 13:16 *m  23 50 47.94 -00 28 02.7 94.69159  41.59857 2.43791681757290  -2.2393060  11.2974 /T   7.5607
 2019-Mar-07 13:17 *m  23 50 48.04 -00 28 02.0 94.68863  41.59865 2.43791591948914  -2.2389508  11.2972 /T   7.5606
 2019-Mar-07 13:18 *m  23 50 48.15 -00 28 01.3 94.68567  41.59874 2.43791502154917  -2.2385890  11.2969 /T   7.5604
 2019-Mar-07 13:19 *m  23 50 48.26 -00 28 00.7 94.68272  41.59882 2.43791412375568  -2.2382204  11.2967 /T   7.5603
 2019-Mar-07 13:20 *m  23 50 48.36 -00 28 00.0 94.67977  41.59891 2.43791322611132  -2.2378453  11.2965 /T   7.5602
 2019-Mar-07 13:21 *m  23 50 48.47 -00 27 59.3 94.67682  41.59900 2.43791232861876  -2.2374635  11.2963 /T   7.5600
 2019-Mar-07 13:22 *m  23 50 48.57 -00 27 58.6 94.67388  41.59908 2.43791143128067  -2.2370751  11.2961 /T   7.5599
 2019-Mar-07 13:23 *m  23 50 48.68 -00 27 57.9 94.67095  41.59917 2.43791053409971  -2.2366800  11.2959 /T   7.5598
