*******************************************************************************
Ephemeris / WWW_USER Thu Mar  7 10:10:32 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hayabusa 2 (spacecraft) (-37)   {source: hayabusa-2_merged}
Center body name: Earth (399)                     {source: hayabusa-2_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-07 12:30:00.0000 UT      
Stop  time      : A.D. 2019-Mar-07 18:30:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: hayabusa-2_merged}
Rel. light bend : Sun, EARTH                      {source: hayabusa-2_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190306.p190528                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-06. PREDICTS-> 2019-MAY-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-07 13:01 *m  21 33 54.54 -11 21 38.2 103.5505  38.95863 2.23293210041219  -7.4009681  24.4885 /L  17.1860
 2019-Mar-07 13:02 *m  21 33 54.66 -11 21 37.6 103.5481  38.95937 2.23292913233090  -7.3998884  24.4887 /L  17.1861
 2019-Mar-07 13:03 *m  21 33 54.78 -11 21 36.9 103.5457  38.96011 2.23292616468358  -7.3988040  24.4889 /L  17.1862
 2019-Mar-07 13:04 *m  21 33 54.89 -11 21 36.3 103.5433  38.96085 2.23292319747209  -7.3977150  24.4890 /L  17.1864
 2019-Mar-07 13:05 *m  21 33 55.01 -11 21 35.6 103.5409  38.96159 2.23292023069828  -7.3966214  24.4892 /L  17.1865
 2019-Mar-07 13:06 *m  21 33 55.13 -11 21 35.0 103.5385  38.96233 2.23291726436400  -7.3955232  24.4894 /L  17.1866
 2019-Mar-07 13:07 *m  21 33 55.25 -11 21 34.3 103.5361  38.96308 2.23291429847109  -7.3944205  24.4896 /L  17.1868
 2019-Mar-07 13:08 *m  21 33 55.36 -11 21 33.7 103.5337  38.96383 2.23291133302137  -7.3933132  24.4898 /L  17.1869
 2019-Mar-07 13:09 *m  21 33 55.48 -11 21 33.0 103.5314  38.96458 2.23290836801667  -7.3922013  24.4899 /L  17.1870
 2019-Mar-07 13:10 *m  21 33 55.60 -11 21 32.4 103.5290  38.96533 2.23290540345880  -7.3910850  24.4901 /L  17.1872
 2019-Mar-07 13:11 *m  21 33 55.72 -11 21 31.8 103.5267  38.96609 2.23290243934955  -7.3899642  24.4903 /L  17.1873
 2019-Mar-07 13:12 *m  21 33 55.83 -11 21 31.1 103.5244  38.96685 2.23289947569072  -7.3888389  24.4905 /L  17.1874
 2019-Mar-07 13:13 *m  21 33 55.95 -11 21 30.5 103.5221  38.96760 2.23289651248409  -7.3877092  24.4907 /L  17.1876
 2019-Mar-07 13:14 *m  21 33 56.07 -11 21 29.8 103.5198  38.96836 2.23289354973145  -7.3865751  24.4908 /L  17.1877
 2019-Mar-07 13:15 *m  21 33 56.18 -11 21 29.2 103.5175  38.96913 2.23289058743454  -7.3854366  24.4910 /L  17.1878
 2019-Mar-07 13:16 *m  21 33 56.30 -11 21 28.5 103.5153  38.96989 2.23288762559513  -7.3842937  24.4912 /L  17.1880
 2019-Mar-07 13:17 *m  21 33 56.42 -11 21 27.9 103.5130  38.97066 2.23288466421496  -7.3831465  24.4914 /L  17.1881
 2019-Mar-07 13:18 *m  21 33 56.54 -11 21 27.2 103.5108  38.97143 2.23288170329578  -7.3819949  24.4916 /L  17.1882
 2019-Mar-07 13:19 *m  21 33 56.65 -11 21 26.6 103.5085  38.97220 2.23287874283931  -7.3808391  24.4917 /L  17.1884
 2019-Mar-07 13:20 *m  21 33 56.77 -11 21 25.9 103.5063  38.97297 2.23287578284727  -7.3796790  24.4919 /L  17.1885
 2019-Mar-07 13:21 *m  21 33 56.89 -11 21 25.3 103.5041  38.97374 2.23287282332137  -7.3785146  24.4921 /L  17.1886
 2019-Mar-07 13:22 *m  21 33 57.01 -11 21 24.6 103.5019  38.97452 2.23286986426331  -7.3773460  24.4923 /L  17.1888
 2019-Mar-07 13:23 *m  21 33 57.12 -11 21 24.0 103.4997  38.97529 2.23286690567480  -7.3761732  24.4925 /L  17.1889
 2019-Mar-07 13:24 *m  21 33 57.24 -11 21 23.3 103.4975  38.97607 2.23286394755749  -7.3749962  24.4926 /L  17.1890
 2019-Mar-07 13:25 *m  21 33 57.36 -11 21 22.7 103.4954  38.97685 2.23286098991307  -7.3738151  24.4928 /L  17.1892
 2019-Mar-07 13:26 *m  21 33 57.48 -11 21 22.0 103.4932  38.97764 2.23285803274321  -7.3726298  24.4930 /L  17.1893
