*******************************************************************************
Ephemeris / WWW_USER Tue Feb 19 21:49:09 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1}
Center body name: Earth (399)                     {source: Voyager_1}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Feb-20 19:15:00.0000 UT      
Stop  time      : A.D. 2019-Feb-21 07:15:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_1}
Rel. light bend : Sun, EARTH                      {source: Voyager_1}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190218.p190512                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-FEB-18. PREDICTS-> 2019-MAY-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Feb-20 19:47 *   17 14 28.41 +12 06 19.0 0.373333  0.541454 145.002053158913  -6.5031707  77.9553 /L   0.3818
 2019-Feb-20 19:48 *   17 14 28.41 +12 06 19.0 0.373373  0.541461 145.002050550685  -6.5037449  77.9559 /L   0.3818
 2019-Feb-20 19:49 *   17 14 28.41 +12 06 19.0 0.373413  0.541468 145.002047942225  -6.5043256  77.9564 /L   0.3818
 2019-Feb-20 19:50 *   17 14 28.41 +12 06 19.0 0.373453  0.541474 145.002045333531  -6.5049128  77.9570 /L   0.3818
 2019-Feb-20 19:51 *   17 14 28.41 +12 06 19.0 0.373493  0.541481 145.002042724600  -6.5055063  77.9576 /L   0.3818
 2019-Feb-20 19:52 *   17 14 28.41 +12 06 19.0 0.373533  0.541488 145.002040115429  -6.5061063  77.9581 /L   0.3818
 2019-Feb-20 19:53 *   17 14 28.41 +12 06 19.0 0.373572  0.541495 145.002037506017  -6.5067128  77.9587 /L   0.3818
 2019-Feb-20 19:54 *   17 14 28.41 +12 06 19.1 0.373612  0.541502 145.002034896361  -6.5073256  77.9592 /L   0.3818
 2019-Feb-20 19:55 *   17 14 28.41 +12 06 19.1 0.373652  0.541509 145.002032286457  -6.5079449  77.9598 /L   0.3818
 2019-Feb-20 19:56 *   17 14 28.42 +12 06 19.1 0.373691  0.541515 145.002029676304  -6.5085705  77.9603 /L   0.3818
 2019-Feb-20 19:57 *   17 14 28.42 +12 06 19.1 0.373730  0.541523 145.002027065898  -6.5092025  77.9609 /L   0.3818
 2019-Feb-20 19:58 *   17 14 28.42 +12 06 19.1 0.373769  0.541530 145.002024455238  -6.5098409  77.9615 /L   0.3818
 2019-Feb-20 19:59 *   17 14 28.42 +12 06 19.1 0.373809  0.541537 145.002021844320  -6.5104857  77.9620 /L   0.3818
 2019-Feb-20 20:00 *   17 14 28.42 +12 06 19.1 0.373848  0.541544 145.002019233143  -6.5111368  77.9626 /L   0.3818
 2019-Feb-20 20:01 *   17 14 28.42 +12 06 19.1 0.373887  0.541551 145.002016621703  -6.5117942  77.9631 /L   0.3818
 2019-Feb-20 20:02 *   17 14 28.42 +12 06 19.1 0.373926  0.541558 145.002014009998  -6.5124580  77.9637 /L   0.3818
 2019-Feb-20 20:03 *   17 14 28.42 +12 06 19.1 0.373964  0.541566 145.002011398026  -6.5131281  77.9643 /L   0.3818
 2019-Feb-20 20:04 *   17 14 28.42 +12 06 19.1 0.374003  0.541573 145.002008785783  -6.5138045  77.9648 /L   0.3818
 2019-Feb-20 20:05 *   17 14 28.42 +12 06 19.2 0.374042  0.541580 145.002006173269  -6.5144872  77.9654 /L   0.3818
 2019-Feb-20 20:06 *   17 14 28.42 +12 06 19.2 0.374080  0.541588 145.002003560479  -6.5151762  77.9659 /L   0.3818
 2019-Feb-20 20:07 *   17 14 28.42 +12 06 19.2 0.374119  0.541595 145.002000947411  -6.5158714  77.9665 /L   0.3818
 2019-Feb-20 20:08 *   17 14 28.42 +12 06 19.2 0.374157  0.541603 145.001998334064  -6.5165729  77.9671 /L   0.3818
 2019-Feb-20 20:09 *   17 14 28.42 +12 06 19.2 0.374195  0.541611 145.001995720434  -6.5172806  77.9676 /L   0.3818
 2019-Feb-20 20:10 *   17 14 28.42 +12 06 19.2 0.374233  0.541618 145.001993106518  -6.5179946  77.9682 /L   0.3818
