*******************************************************************************
Ephemeris / WWW_USER Wed Mar 27 21:54:47 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hayabusa 2 (spacecraft) (-37)   {source: hayabusa-2_merged}
Center body name: Earth (399)                     {source: hayabusa-2_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-28 15:00:00.0000 UT      
Stop  time      : A.D. 2019-Mar-29 03:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: hayabusa-2_merged}
Rel. light bend : Sun, EARTH                      {source: hayabusa-2_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190327.p190618                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-27. PREDICTS-> 2019-JUN-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-28 15:31 *t  22 33 19.25 -05 26 06.5 104.0730  45.00199 2.13673642286115  -8.5273733  29.6438 /L  21.2517
 2019-Mar-28 15:32 *m  22 33 19.36 -05 26 05.7 104.0731  45.00250 2.13673300311773  -8.5258270  29.6439 /L  21.2518
 2019-Mar-28 15:33 *m  22 33 19.48 -05 26 05.0 104.0732  45.00300 2.13672958399449  -8.5242807  29.6441 /L  21.2519
 2019-Mar-28 15:34 *m  22 33 19.60 -05 26 04.2 104.0733  45.00350 2.13672616549141  -8.5227345  29.6443 /L  21.2521
 2019-Mar-28 15:35 *m  22 33 19.71 -05 26 03.5 104.0734  45.00401 2.13672274760845  -8.5211883  29.6444 /L  21.2522
 2019-Mar-28 15:36 *m  22 33 19.83 -05 26 02.8 104.0736  45.00451 2.13671933034557  -8.5196423  29.6446 /L  21.2523
 2019-Mar-28 15:37 *m  22 33 19.95 -05 26 02.0 104.0737  45.00502 2.13671591370271  -8.5180965  29.6447 /L  21.2524
 2019-Mar-28 15:38 *m  22 33 20.06 -05 26 01.3 104.0739  45.00552 2.13671249767980  -8.5165508  29.6449 /L  21.2526
 2019-Mar-28 15:39 *m  22 33 20.18 -05 26 00.5 104.0741  45.00603 2.13670908227676  -8.5150054  29.6450 /L  21.2527
 2019-Mar-28 15:40 *m  22 33 20.29 -05 25 59.8 104.0743  45.00653 2.13670566749349  -8.5134602  29.6452 /L  21.2528
 2019-Mar-28 15:41 *m  22 33 20.41 -05 25 59.0 104.0745  45.00703 2.13670225332988  -8.5119153  29.6453 /L  21.2530
 2019-Mar-28 15:42 *m  22 33 20.53 -05 25 58.3 104.0747  45.00754 2.13669883978583  -8.5103707  29.6455 /L  21.2531
 2019-Mar-28 15:43 *m  22 33 20.64 -05 25 57.5 104.0750  45.00804 2.13669542686119  -8.5088265  29.6456 /L  21.2532
 2019-Mar-28 15:44 *m  22 33 20.76 -05 25 56.8 104.0753  45.00854 2.13669201455583  -8.5072826  29.6458 /L  21.2533
 2019-Mar-28 15:45 *m  22 33 20.88 -05 25 56.0 104.0755  45.00905 2.13668860286958  -8.5057391  29.6460 /L  21.2535
 2019-Mar-28 15:46 *m  22 33 20.99 -05 25 55.3 104.0758  45.00955 2.13668519180229  -8.5041961  29.6461 /L  21.2536
 2019-Mar-28 15:47 *m  22 33 21.11 -05 25 54.5 104.0762  45.01005 2.13668178135377  -8.5026535  29.6463 /L  21.2537
 2019-Mar-28 15:48 *m  22 33 21.22 -05 25 53.8 104.0765  45.01056 2.13667837152383  -8.5011114  29.6464 /L  21.2539
 2019-Mar-28 15:49 *m  22 33 21.34 -05 25 53.0 104.0769  45.01106 2.13667496231227  -8.4995699  29.6466 /L  21.2540
 2019-Mar-28 15:50 *m  22 33 21.46 -05 25 52.3 104.0772  45.01156 2.13667155371888  -8.4980288  29.6467 /L  21.2541
 2019-Mar-28 15:51 *m  22 33 21.57 -05 25 51.5 104.0776  45.01207 2.13666814574341  -8.4964884  29.6469 /L  21.2542
 2019-Mar-28 15:52 *m  22 33 21.69 -05 25 50.8 104.0780  45.01257 2.13666473838565  -8.4949486  29.6470 /L  21.2544
 2019-Mar-28 15:53 *m  22 33 21.80 -05 25 50.0 104.0784  45.01307 2.13666133164533  -8.4934094  29.6472 /L  21.2545
 2019-Mar-28 15:54 *m  22 33 21.92 -05 25 49.3 104.0788  45.01357 2.13665792552220  -8.4918709  29.6473 /L  21.2546
 2019-Mar-28 15:55 *m  22 33 22.04 -05 25 48.5 104.0793  45.01407 2.13665452001596  -8.4903331  29.6475 /L  21.2548
 2019-Mar-28 15:56 *m  22 33 22.15 -05 25 47.8 104.0797  45.01457 2.13665111512635  -8.4887960  29.6477 /L  21.2549
 2019-Mar-28 15:57 *m  22 33 22.27 -05 25 47.0 104.0802  45.01508 2.13664771085306  -8.4872597  29.6478 /L  21.2550
 2019-Mar-28 15:58 *m  22 33 22.39 -05 25 46.3 104.0807  45.01558 2.13664430719576  -8.4857242  29.6480 /L  21.2551
 2019-Mar-28 15:59 *m  22 33 22.50 -05 25 45.5 104.0812  45.01608 2.13664090415416  -8.4841895  29.6481 /L  21.2553
 2019-Mar-28 16:00 *m  22 33 22.62 -05 25 44.8 104.0818  45.01658 2.13663750172790  -8.4826557  29.6483 /L  21.2554
 2019-Mar-28 16:01 *m  22 33 22.73 -05 25 44.0 104.0823  45.01708 2.13663409991664  -8.4811227  29.6484 /L  21.2555
 2019-Mar-28 16:02 *m  22 33 22.85 -05 25 43.3 104.0829  45.01758 2.13663069872002  -8.4795907  29.6486 /L  21.2557
 2019-Mar-28 16:03 *m  22 33 22.97 -05 25 42.5 104.0834  45.01808 2.13662729813766  -8.4780596  29.6487 /L  21.2558
 2019-Mar-28 16:04 *m  22 33 23.08 -05 25 41.8 104.0840  45.01858 2.13662389816920  -8.4765294  29.6489 /L  21.2559
 2019-Mar-28 16:05 *m  22 33 23.20 -05 25 41.0 104.0846  45.01908 2.13662049881421  -8.4750003  29.6490 /L  21.2560
 2019-Mar-28 16:06 *m  22 33 23.32 -05 25 40.3 104.0853  45.01958 2.13661710007231  -8.4734722  29.6492 /L  21.2562
 2019-Mar-28 16:07 *m  22 33 23.43 -05 25 39.5 104.0859  45.02008 2.13661370194307  -8.4719451  29.6494 /L  21.2563
 2019-Mar-28 16:08 *m  22 33 23.55 -05 25 38.8 104.0865  45.02058 2.13661030442605  -8.4704192  29.6495 /L  21.2564
 2019-Mar-28 16:09 *m  22 33 23.66 -05 25 38.0 104.0872  45.02107 2.13660690752083  -8.4688944  29.6497 /L  21.2565
 2019-Mar-28 16:10 *m  22 33 23.78 -05 25 37.3 104.0879  45.02157 2.13660351122693  -8.4673707  29.6498 /L  21.2567
 2019-Mar-28 16:11 *m  22 33 23.90 -05 25 36.5 104.0886  45.02207 2.13660011554389  -8.4658482  29.6500 /L  21.2568
 2019-Mar-28 16:12 *m  22 33 24.01 -05 25 35.8 104.0893  45.02257 2.13659672047123  -8.4643269  29.6501 /L  21.2569
 2019-Mar-28 16:13 *m  22 33 24.13 -05 25 35.0 104.0901  45.02306 2.13659332600847  -8.4628069  29.6503 /L  21.2571
 2019-Mar-28 16:14 *m  22 33 24.25 -05 25 34.3 104.0908  45.02356 2.13658993215509  -8.4612881  29.6504 /L  21.2572
 2019-Mar-28 16:15 *m  22 33 24.36 -05 25 33.5 104.0916  45.02406 2.13658653891058  -8.4597706  29.6506 /L  21.2573
 2019-Mar-28 16:16 *m  22 33 24.48 -05 25 32.8 104.0924  45.02455 2.13658314627441  -8.4582545  29.6507 /L  21.2574
 2019-Mar-28 16:17 *m  22 33 24.59 -05 25 32.0 104.0931  45.02505 2.13657975424606  -8.4567397  29.6509 /L  21.2576
 2019-Mar-28 16:18 *m  22 33 24.71 -05 25 31.3 104.0940  45.02555 2.13657636282495  -8.4552263  29.6511 /L  21.2577
 2019-Mar-28 16:19 *m  22 33 24.83 -05 25 30.5 104.0948  45.02604 2.13657297201054  -8.4537143  29.6512 /L  21.2578
 2019-Mar-28 16:20 *m  22 33 24.94 -05 25 29.8 104.0956  45.02654 2.13656958180225  -8.4522038  29.6514 /L  21.2580
 2019-Mar-28 16:21 *m  22 33 25.06 -05 25 29.0 104.0965  45.02703 2.13656619219949  -8.4506947  29.6515 /L  21.2581
 2019-Mar-28 16:22 *m  22 33 25.17 -05 25 28.3 104.0974  45.02752 2.13656280320166  -8.4491872  29.6517 /L  21.2582
 2019-Mar-28 16:23 *m  22 33 25.29 -05 25 27.5 104.0983  45.02802 2.13655941480816  -8.4476812  29.6518 /L  21.2583
 2019-Mar-28 16:24 *m  22 33 25.41 -05 25 26.8 104.0992  45.02851 2.13655602701835  -8.4461767  29.6520 /L  21.2585
 2019-Mar-28 16:25 *m  22 33 25.52 -05 25 26.0 104.1001  45.02900 2.13655263983161  -8.4446739  29.6521 /L  21.2586
 2019-Mar-28 16:26 *m  22 33 25.64 -05 25 25.3 104.1010  45.02950 2.13654925324729  -8.4431726  29.6523 /L  21.2587
 2019-Mar-28 16:27 *m  22 33 25.76 -05 25 24.5 104.1020  45.02999 2.13654586726474  -8.4416731  29.6524 /L  21.2589
 2019-Mar-28 16:28 *m  22 33 25.87 -05 25 23.8 104.1030  45.03048 2.13654248188328  -8.4401752  29.6526 /L  21.2590
 2019-Mar-28 16:29 *m  22 33 25.99 -05 25 23.0 104.1039  45.03097 2.13653909710224  -8.4386790  29.6527 /L  21.2591
 2019-Mar-28 16:30 *m  22 33 26.10 -05 25 22.3 104.1049  45.03146 2.13653571292092  -8.4371845  29.6529 /L  21.2592
 2019-Mar-28 16:31 *m  22 33 26.22 -05 25 21.5 104.1060  45.03195 2.13653232933861  -8.4356919  29.6531 /L  21.2594
 2019-Mar-28 16:32 *m  22 33 26.34 -05 25 20.8 104.1070  45.03244 2.13652894635461  -8.4342010  29.6532 /L  21.2595
 2019-Mar-28 16:33 *m  22 33 26.45 -05 25 20.0 104.1080  45.03293 2.13652556396818  -8.4327120  29.6534 /L  21.2596
 2019-Mar-28 16:34 *m  22 33 26.57 -05 25 19.3 104.1091  45.03342 2.13652218217859  -8.4312248  29.6535 /L  21.2597
 2019-Mar-28 16:35 *m  22 33 26.69 -05 25 18.5 104.1102  45.03391 2.13651880098508  -8.4297395  29.6537 /L  21.2599
 2019-Mar-28 16:36 *m  22 33 26.80 -05 25 17.8 104.1113  45.03440 2.13651542038689  -8.4282561  29.6538 /L  21.2600
 2019-Mar-28 16:37 *m  22 33 26.92 -05 25 17.0 104.1124  45.03489 2.13651204038324  -8.4267747  29.6540 /L  21.2601
 2019-Mar-28 16:38 *m  22 33 27.03 -05 25 16.3 104.1135  45.03537 2.13650866097336  -8.4252952  29.6541 /L  21.2603
 2019-Mar-28 16:39 *m  22 33 27.15 -05 25 15.5 104.1147  45.03586 2.13650528215645  -8.4238178  29.6543 /L  21.2604
 2019-Mar-28 16:40 *   22 33 27.27 -05 25 14.8 104.1158  45.03635 2.13650190393168  -8.4223423  29.6544 /L  21.2605
 2019-Mar-28 16:41 *   22 33 27.38 -05 25 14.1 104.1170  45.03683 2.13649852629826  -8.4208690  29.6546 /L  21.2606
